timestamp,x_accel,y_accel,z_accel,current_A,voltage_V
1460573.899893,-0.210762,-0.124541,0.047900,0.000000,0.000000
1460573.909920,-0.229922,-0.119751,0.038320,0.000000,0.000000
1460573.920044,-0.225132,-0.119751,0.038320,0.039101,0.000000
1460573.930169,-0.215552,-0.124541,0.047900,0.039101,0.000000
1460573.940213,-0.229922,-0.124541,0.038320,0.000000,0.000000
1460573.950389,-0.225132,-0.124541,0.038320,0.000000,0.000000
1460573.960454,-0.215552,-0.124541,0.052690,0.019550,0.000000
1460573.970552,-0.225132,-0.124541,0.047900,0.000000,0.000000
1460573.980689,-0.229922,-0.119751,0.038320,0.000000,0.000000
1460573.990714,-0.210762,-0.124541,0.047900,0.000000,0.000000
1460574.000789,-0.220342,-0.119751,0.047900,0.000000,0.000000
1460574.010918,-0.229922,-0.119751,0.033530,0.000000,0.000000
1460574.021020,-0.220342,-0.124541,0.043110,0.019550,0.000000
1460574.031126,-0.220342,-0.129331,0.047900,0.039101,0.000000
1460574.041183,-0.229922,-0.124541,0.038320,0.000000,0.000000
1460574.051341,-0.220342,-0.124541,0.038320,0.000000,0.000000
1460574.061401,-0.220342,-0.124541,0.043110,0.000000,0.000000
1460574.071543,-0.225132,-0.119751,0.043110,0.000000,0.000000
1460574.081681,-0.225132,-0.119751,0.038320,0.000000,0.000000
1460574.091679,-0.225132,-0.114961,0.047900,0.000000,0.000000
1460574.101807,-0.225132,-0.119751,0.043110,0.000000,0.000000
1460574.111924,-0.225132,-0.124541,0.038320,0.019550,0.000000
1460574.122035,-0.220342,-0.124541,0.038320,0.039101,0.000000
1460574.132147,-0.225132,-0.129331,0.038320,0.039101,0.000000
1460574.142189,-0.225132,-0.124541,0.047900,0.000000,0.000000
1460574.152307,-0.225132,-0.124541,0.043110,0.000000,0.000000
1460574.162364,-0.220342,-0.119751,0.047900,0.039101,0.000000
1460574.172577,-0.220342,-0.119751,0.038320,0.000000,0.000000
1460574.182572,-0.225132,-0.119751,0.038320,0.000000,0.000000
1460574.192717,-0.220342,-0.124541,0.043110,0.000000,0.000000
1460574.202800,-0.225132,-0.124541,0.043110,0.000000,0.000000
1460574.212919,-0.220342,-0.124541,0.043110,0.000000,0.000000
1460574.223053,-0.225132,-0.124541,0.038320,0.000000,0.000000
1460574.233101,-0.225132,-0.124541,0.043110,0.000000,0.000000
1460574.243127,-0.225132,-0.124541,0.043110,0.000000,0.000000
1460574.253277,-0.225132,-0.114961,0.043110,0.000000,0.000000
1460574.263437,-0.215552,-0.114961,0.043110,0.000000,0.000000
1460574.273449,-0.220342,-0.114961,0.043110,0.000000,0.000000
1460574.283558,-0.225132,-0.119751,0.043110,0.000000,0.000000
1460574.293775,-0.215552,-0.124541,0.038320,0.019550,0.000000
1460574.303871,-0.215552,-0.124541,0.043110,0.019550,0.000000
1460574.313887,-0.225132,-0.124541,0.038320,0.000000,0.000000
1460574.323930,-0.225132,-0.124541,0.038320,0.000000,0.000000
1460574.334066,-0.215552,-0.119751,0.043110,0.000000,0.000000
1460574.344157,-0.225132,-0.114961,0.043110,0.000000,0.000000
1460574.354305,-0.225132,-0.114961,0.043110,0.000000,0.000000
1460574.364422,-0.220342,-0.119751,0.043110,0.000000,0.000000
1460574.374459,-0.225132,-0.124541,0.043110,0.039101,0.000000
