timestamp,x_accel,y_accel,z_accel,current_A
91501.816562,0.009580,-0.416733,0.043110,1.915934
91501.826575,0.014370,-0.455054,0.047900,1.896383
91501.836689,0.038320,-0.421523,0.047900,1.876833
91501.846789,0.038320,-0.416733,0.043110,1.915934
91501.856909,0.009580,-0.445474,0.047900,1.915934
91501.867105,0.004790,-0.426313,0.057480,1.896383
91501.877017,0.023950,-0.421523,0.043110,1.915934
91501.889703,0.023950,-0.459844,0.043110,1.915934
91501.897439,0.023950,-0.416733,0.052690,1.915934
91501.907663,0.043110,-0.407153,0.047900,1.896383
91501.917669,0.019160,-0.435894,0.043110,1.915934
91501.927669,-0.004790,-0.392783,0.043110,1.935484
91501.937752,0.023950,-0.421523,0.047900,1.915934
91501.947898,0.043110,-0.431104,0.043110,1.896383
91501.957827,0.019160,-0.431104,0.057480,1.935484
91501.967963,0.028740,-0.421523,0.047900,1.935484
91501.978147,0.028740,-0.426313,0.043110,1.915934
91501.988160,0.000000,-0.431104,0.047900,1.915934
91501.998294,0.019160,-0.445474,0.038320,1.935484
91502.008357,0.043110,-0.435894,0.047900,1.935484
91502.018549,0.033530,-0.421523,0.057480,1.915934
91502.028545,0.028740,-0.431104,0.047900,1.915934
91502.038607,0.004790,-0.373623,0.038320,1.955034
91502.048719,0.019160,-0.421523,0.038320,1.935484
91502.058843,0.038320,-0.445474,0.047900,1.915934
91502.068962,0.023950,-0.421523,0.052690,1.915934
91502.079061,0.019160,-0.435894,0.047900,1.955034
91502.089179,0.019160,-0.440684,0.052690,1.955034
91502.099201,0.019160,-0.426313,0.043110,1.935484
91502.109330,0.014370,-0.459844,0.052690,1.935484
91502.119436,0.023950,-0.435894,0.052690,1.955034
91502.129543,0.028740,-0.421523,0.057480,1.955034
91502.139655,0.028740,-0.421523,0.047900,1.935484
91502.149739,0.009580,-0.416733,0.038320,1.935484
91502.159814,0.028740,-0.455054,0.047900,1.935484
91502.169909,0.028740,-0.421523,0.047900,1.955034
91502.180036,0.028740,-0.416733,0.052690,1.955034
91502.190097,0.038320,-0.416733,0.052690,1.955034
91502.200263,0.009580,-0.387993,0.038320,1.935484
91502.210444,0.019160,-0.455054,0.033530,1.955034
91502.220462,0.043110,-0.431104,0.052690,1.974585
91502.230567,0.033530,-0.397573,0.052690,1.955034
